000 0 0  # FORMATION 0: 
238 3 0  # FORMATION ee: Suriander_ Pan_Dora__ Pan_Dora__
239 3 0  # FORMATION ef: Madam_____ Succubus__ Suriander_
240 3 0  # FORMATION f0: Samurai___ Parasoul__ Suriander_
241 3 0  # FORMATION f1: Parasoul__ Parasoul__ Madam_____
242 3 0  # FORMATION f2: Madam_____ Madam_____ Samurai___
243 3 0  # FORMATION f3: Europa____ Ganymede__
244 3 0  # FORMATION f4: Callisto__ Ganymede__
245 3 0  # FORMATION f5: Io________
246 3 0  # FORMATION f6: WEAPON____
247 3 0  # FORMATION f7: Pond_Scum_ Sponge____ Sponge____ Sponge____
248 3 0  # FORMATION f8: Pond_Scum_ Pond_Scum_ Zorathian_
249 3 0  # FORMATION f9: Sponge____ Sponge____ Sponge____ Sponge____ Sponge____
250 3 0  # FORMATION fa: Zorathian_ Zorathian_
251 3 0  # FORMATION fb: Banshee___ Banshee___
252 3 0  # FORMATION fc: Mephisto__ Boxxy_____ Boxxy_____ Boxxy_____
253 3 0  # FORMATION fd: Banshee___ Mephisto__ Mephisto__
254 3 0  # FORMATION fe: Magic_Pot_ Magic_Pot_
255 3 0  # FORMATION ff: Magic_Pot_ Magic_Pot_ Magic_Pot_
256 4 1  # FORMATION 100: Dinosaur__ Ziegfried_
257 0 1  # FORMATION 101: Guard_____ Guard_____
258 0 1  # FORMATION 102: Lobo______ Lobo______
259 0 1  # FORMATION 103: Lobo______ Lobo______ Guard_____ Guard_____
260 0 1  # FORMATION 104: Mammoth___ Mammoth___ Guard_____ Guard_____
261 0 0  # FORMATION 105: Lobo______ Mammoth___
262 7 1  # FORMATION 106: Lobo______ Lobo______ Captain___
263 4 0  # FORMATION 107: Trooper___ Trooper___ Trooper___ Trooper___
264 4 0  # FORMATION 108: Pooch_____ Trooper___
265 0 1  # FORMATION 109: Trooper___ Nude_Dude_
266 0 1  # FORMATION 10a: Merchant__ Nude_Dude_ Merchant__ Merchant__ Merchant__ Merchant__
267 7 1  # FORMATION 10b: Mega_Armor
268 0 0  # FORMATION 10c: 
269 0 0  # FORMATION 10d: Soldier___ Soldier___ Soldier___ Soldier___
270 0 0  # FORMATION 10e: Phalanx___ Soldier___ Soldier___
271 4 0  # FORMATION 10f: Sea_Flower Sea_Flower Sea_Flower Sea_Flower
272 0 0  # FORMATION 110: 
273 4 0  # FORMATION 111: Anguiform_ Anguiform_
274 7 1  # FORMATION 112: Piranha___ Piranha___ Piranha___ Piranha___ Piranha___ Rizopas___
275 4 0  # FORMATION 113: Anguiform_ Prokaryote Prokaryote
276 0 0  # FORMATION 114: Anguiform_ Prokaryote Sea_Flower
277 4 0  # FORMATION 115: Prokaryote Prokaryote Sea_Flower Sea_Flower
278 4 0  # FORMATION 116: Rottweiler Trooper___ Trooper___
279 4 0  # FORMATION 117: Mega_Armor Trooper___ Trooper___
280 7 1  # FORMATION 118: Thanatos__
281 0 0  # FORMATION 119: 
282 0 0  # FORMATION 11a: Mega_Armor
283 0 0  # FORMATION 11b: Commando__
284 4 0  # FORMATION 11c: Plague_Rat Vermin____ Plague_Rat Vermin____ Plague_Rat
285 4 0  # FORMATION 11d: Vermin____ Plague_Rat Plague_Rat
286 0 1  # FORMATION 11e: Templar___ Templar___ Templar___
287 0 0  # FORMATION 11f: Grenade___ Grenade___ Grenade___
288 4 1  # FORMATION 120: Telstar___ Soldier___ Soldier___ Soldier___ Soldier___
289 0 0  # FORMATION 121: Grenade___ Grenade___ Grenade___ Grenade___ Grenade___ Grenade___
290 4 1  # FORMATION 122: Phantom___
291 0 0  # FORMATION 123: 
292 0 0  # FORMATION 124: 
293 4 1  # FORMATION 125: Colossus__
294 4 1  # FORMATION 126: Pug_______
295 0 0  # FORMATION 127: Commando__ Commando__ Commando__ Commando__
296 0 0  # FORMATION 128: Proto_Man_ Mega_Armor
297 0 0  # FORMATION 129: Mag_Roader Mag_Roadie
298 0 1  # FORMATION 12a: Doberman__ Doberman__ Doberman__
299 0 1  # FORMATION 12b: Soldier___ Soldier___
300 0 1  # FORMATION 12c: Phalanx___ Phalanx___ Soldier___ Soldier___
301 0 0  # FORMATION 12d: Grenade___ Grenade___ Grenade___ Grenade___
302 7 1  # FORMATION 12e: Templar___
303 0 0  # FORMATION 12f: Wight_____ Wight_____ Wight_____
304 0 0  # FORMATION 130: Wight_____ Wight_____
305 0 0  # FORMATION 131: 
306 0 0  # FORMATION 132: 
307 0 0  # FORMATION 133: 
308 0 0  # FORMATION 134: 
309 0 0  # FORMATION 135: 
310 0 0  # FORMATION 136: 
311 0 0  # FORMATION 137: 
312 0 1  # FORMATION 138: 
313 6 1  # FORMATION 139: Kefka_____
314 0 0  # FORMATION 13a: 
315 0 1  # FORMATION 13b: _Event____
316 0 1  # FORMATION 13c: _Event____
317 0 1  # FORMATION 13d: _Event____
318 0 0  # FORMATION 13e: 
319 0 0  # FORMATION 13f: 
320 7 1  # FORMATION 140: Whelk_____ _Whelk____
321 7 1  # FORMATION 141: Tek_Armor_ Tek_Armor_
322 7 1  # FORMATION 142: Vargas____ Bear______ Bear______
323 7 1  # FORMATION 143: Hell_Angel
324 7 1  # FORMATION 144: Soul_Train
325 1 1  # FORMATION 145: Dadaluma__ Fighter___ Fighter___
326 1 1  # FORMATION 146: Ifrit_____ Shiva_____
327 1 1  # FORMATION 147: Crane_____ Crane_____
328 1 1  # FORMATION 148: Number_024
329 1 1  # FORMATION 149: Number_128 _Saber____ _Rapier___
330 1 1  # FORMATION 14a: Tentacle_A Tentacle_B Tentacle_C Tentacle_D
331 0 0  # FORMATION 14b: 
332 0 0  # FORMATION 14c: 
333 0 0  # FORMATION 14d: Esper_____
334 0 0  # FORMATION 14e: Esper_____
335 1 1  # FORMATION 14f: Heartfire_ Grenade___ Grenade___ Grenade___ Grenade___
336 2 1  # FORMATION 150: Atma______
337 1 0  # FORMATION 151: Nimufu____
338 7 1  # FORMATION 152: Intangir__ Intangir__
339 1 1  # FORMATION 153: Intangir_Z
340 1 1  # FORMATION 154: Tentacle_A Tentacle_B Tentacle_C Tentacle_D
341 1 1  # FORMATION 155: Dullahan__
342 1 1  # FORMATION 156: Lakshmi___ Chadarnook
343 0 0  # FORMATION 157: 
344 0 0  # FORMATION 158: 
345 1 1  # FORMATION 159: IAF_______ _Right_Bay _Left_Bay_
346 1 1  # FORMATION 15a: Larry_____ Curly_____ Moe_______ Shemp_____
347 0 0  # FORMATION 15b: 
348 1 1  # FORMATION 15c: Wrexsoul__ Soulblazer Soulblazer Shemp_____ Soulblazer Soulblazer
349 0 0  # FORMATION 15d: 
350 1 1  # FORMATION 15e: Hidon_____ _Blinky___ _Pinky____ _Kinky____ _Clyde____
351 4 1  # FORMATION 15f: Katanasoul
352 0 0  # FORMATION 160: 
353 0 0  # FORMATION 161: _Event____
354 2 1  # FORMATION 162: Asura_____
355 2 1  # FORMATION 163: Isis______
356 2 1  # FORMATION 164: Myria_____
357 0 0  # FORMATION 165: Dahling___ Dahling___ Nightshade
358 0 0  # FORMATION 166: 
359 7 1  # FORMATION 167: Ultros____
360 0 0  # FORMATION 168: Ultros____ Ultros____ Ultros____ Ultros____
361 0 0  # FORMATION 169: _Event____
362 0 0  # FORMATION 16a: 
363 7 1  # FORMATION 16b: Chupon____ Ultros____ Ultros____
364 0 0  # FORMATION 16c: 
365 1 1  # FORMATION 16d: Ziegfried_
366 0 0  # FORMATION 16e: 
367 0 0  # FORMATION 16f: 
368 6 1  # FORMATION 170: Ultima____
369 4 1  # FORMATION 171: Master_T__
370 1 1  # FORMATION 172: Inferno___ _Rake_____ _Striker__
371 0 0  # FORMATION 173: 
372 4 1  # FORMATION 174: Chesticle_ _Chesticle
373 1 1  # FORMATION 175: Yeti______
374 0 0  # FORMATION 176: 
375 0 0  # FORMATION 177: Esper_____
376 1 1  # FORMATION 178: Esper_____
377 0 0  # FORMATION 179: Centurion_ Centurion_ Kefka_____
378 0 0  # FORMATION 17a: _Event____
379 0 1  # FORMATION 17b: _Event____
380 0 1  # FORMATION 17c: _Event____
381 7 1  # FORMATION 17d: Ultros____ Ultros____ Ultros____ Ultros____
382 4 1  # FORMATION 17e: Bat_Lady__
383 0 0  # FORMATION 17f: _Event____
384 1 1  # FORMATION 180: Phunbaba__
385 1 1  # FORMATION 181: Phunbaba__
386 1 1  # FORMATION 182: Phunbaba__
387 1 1  # FORMATION 183: Phunbaba__
388 6 1  # FORMATION 184: Silver_D__
389 6 1  # FORMATION 185: Purple_D__
390 6 1  # FORMATION 186: Brown_D___
391 6 1  # FORMATION 187: Gold_D____
392 6 1  # FORMATION 188: Green_D___
393 6 1  # FORMATION 189: Blue_D____
394 6 1  # FORMATION 18a: Red_D_____
395 6 1  # FORMATION 18b: White_D___
396 1 1  # FORMATION 18c: Guardian__ Android___ Android___
397 4 0  # FORMATION 18d: Sky_Armor_ Spitfire__ Spitfire__
398 4 0  # FORMATION 18e: Sky_Armor_ Sky_Armor_
399 4 0  # FORMATION 18f: Mag_Roader Mag_Roader
400 4 0  # FORMATION 190: Mag_Roadie Mag_Roadie Mag_Roadie Mag_Roadie
401 6 1  # FORMATION 191: MagiMaster
402 0 0  # FORMATION 192: Dahling___ Dahling___ Dahling___
403 0 0  # FORMATION 193: Nightshade Nightshade Nightshade
404 0 0  # FORMATION 194: __________
405 7 1  # FORMATION 195: Ninja_____
406 0 0  # FORMATION 196: 
407 0 0  # FORMATION 197: Dahling___ Nightshade Nightshade
408 4 1  # FORMATION 198: Tonberry__
409 4 1  # FORMATION 199: Bonelord__
410 6 1  # FORMATION 19a: Kaiser____
411 3 0  # FORMATION 19b: Lv_1_Mage_ Lv_1_Mage_ Lv_1_Mage_
412 3 0  # FORMATION 19c: Lv_1_Mage_ Lv_1_Mage_ Lv_2_Mage_ Lv_2_Mage_
413 0 0  # FORMATION 19d: Lv_3_Mage_ Lv_3_Mage_ Lv_2_Mage_ Lv_2_Mage_
414 3 0  # FORMATION 19e: Lv_4_Mage_ Lv_3_Mage_ Lv_2_Mage_
415 0 0  # FORMATION 19f: Lv_5_Mage_ Lv_4_Mage_ Lv_4_Mage_
416 3 0  # FORMATION 1a0: Lv_6_Mage_ Lv_6_Mage_ Lv_5_Mage_
417 0 0  # FORMATION 1a1: Lv_7_Mage_ Lv_7_Mage_ Lv_6_Mage_ Lv_6_Mage_
418 3 0  # FORMATION 1a2: Lv_8_Mage_ Lv_7_Mage_ Lv_7_Mage_
419 0 0  # FORMATION 1a3: Lv_9_Mage_ Lv_8_Mage_
420 3 0  # FORMATION 1a4: Diablos___ Diablos___
421 3 0  # FORMATION 1a5: Diablos___ Devil_Weed Raptor____
422 3 0  # FORMATION 1a6: Brontosaur Devil_Weed
423 3 0  # FORMATION 1a7: Brontosaur Raptor____ Raptor____ Raptor____
424 3 0  # FORMATION 1a8: Sphinx____ Sphinx____
425 3 0  # FORMATION 1a9: Prometheus
426 3 0  # FORMATION 1aa: Didalos___
427 3 0  # FORMATION 1ab: Death_____
428 3 0  # FORMATION 1ac: Ogre_Nix__
429 3 0  # FORMATION 1ad: Land_Worm_
430 3 0  # FORMATION 1ae: Fiend_____ Assassin__ Assassin__
431 3 0  # FORMATION 1af: Maiden____ Maiden____ Retainer__
432 3 0  # FORMATION 1b0: Gorokan___ Retainer__ Assassin__
433 3 0  # FORMATION 1b1: Ahriman___ Ahriman___ Maiden____ Maiden____
434 3 0  # FORMATION 1b2: Fiend_____ Ahriman___ Ahriman___
435 3 0  # FORMATION 1b3: Arsenal___ Iron_Man__ Iron_Man__ Iron_Man__
436 3 0  # FORMATION 1b4: Autobot___ Robomech__ Robomech__
437 3 0  # FORMATION 1b5: Searcher__ Robomech__ Arsenal___ Autobot___
438 3 0  # FORMATION 1b6: Searcher__ Iron_Man__ Iron_Man__ Android___ Android___ Android___
439 3 0  # FORMATION 1b7: Warmech___
440 3 0  # FORMATION 1b8: Cactuar___
441 0 0  # FORMATION 1b9: 
442 0 0  # FORMATION 1ba: 
443 0 0  # FORMATION 1bb: 
444 0 0  # FORMATION 1bc: 
445 1 1  # FORMATION 1bd: Guardian__
446 0 0  # FORMATION 1be: 
447 0 0  # FORMATION 1bf: 
448 0 0  # FORMATION 1c0: 
449 0 0  # FORMATION 1c1: 
450 0 0  # FORMATION 1c2: 
451 0 0  # FORMATION 1c3: 
